   1.59063685     -0.918354571     -0.649374723    
   3.20456660E-12   1.83670914     -0.649374723    
   3.20460217E-12   3.20456812E-12   1.94812429    
           1          50           1
  0.142857149      0.142857149       0.00000000    
              (-16.176684529141433,0.0000000000000000)   1.0000000000000000     
    -5    -3     2  (  -0.674480E-06 ,  -0.587842E-06 )
    -4    -3     2  (   0.629475E-05 ,  -0.492134E-05 )
    -3    -3     2  (   0.819101E-04 ,  -0.984072E-05 )
    -2    -3     2  (  -0.348050E-04 ,   0.463790E-04 )
    -1    -3     2  (  -0.111076E-03 ,  -0.966910E-04 )
     0    -2     2  (   0.301574E-04 ,   0.261209E-04 )
     1    -2     2  (   0.262371E-02 ,  -0.284230E-02 )
     2    -2     2  (   0.133284E-02 ,  -0.146379E-02 )
     3    -2     2  (  -0.202091E-03 ,   0.208102E-03 )
     4    -2     2  (  -0.100913E-03 ,   0.110450E-03 )
     5    -2     2  (   0.545485E-04 ,  -0.618033E-04 )
    -5    -2     2  (   0.284598E-05 ,  -0.760318E-05 )
    -4    -2     2  (   0.205545E-04 ,   0.178936E-04 )
    -3    -2     2  (  -0.348050E-04 ,   0.463790E-04 )
    -2    -2     2  (  -0.956334E-03 ,   0.505181E-03 )
    -1    -2     2  (  -0.204235E-02 ,   0.157296E-02 )
     0    -1     2  (  -0.158422E-01 ,   0.176518E-01 )
     1    -1     2  (   0.521647E-03 ,   0.453926E-03 )
     2    -1     2  (   0.750805E-02 ,  -0.752072E-02 )
     3    -1     2  (   0.230772E-02 ,  -0.241928E-02 )
     4    -1     2  (  -0.223124E-03 ,   0.240780E-03 )
     5    -1     2  (  -0.370383E-04 ,   0.362653E-04 )
     6    -1     2  (   0.375342E-04 ,  -0.367028E-04 )
    -5    -1     2  (   0.109471E-04 ,  -0.178079E-04 )
    -4    -1     2  (  -0.467194E-04 ,   0.681363E-04 )
    -3    -1     2  (  -0.111076E-03 ,  -0.966910E-04 )
    -2    -1     2  (  -0.204235E-02 ,   0.157296E-02 )
    -1    -1     2  (  -0.110363E-01 ,   0.118925E-01 )
     0     0     3  (  -0.144860E-01 ,   0.167187E-01 )
     1     0     3  (  -0.176719E-01 ,   0.217325E-01 )
     2     0     3  (  -0.641355E-02 ,   0.847347E-02 )
     3     0     3  (   0.228829E-03 ,   0.199210E-03 )
     4     0     3  (   0.668302E-04 ,  -0.621731E-04 )
     5     0     3  (  -0.114453E-03 ,   0.115899E-03 )
     6     0     3  (   0.333987E-04 ,  -0.381443E-04 )
    -4     0     3  (   0.725321E-05 ,  -0.650040E-05 )
    -3     0     3  (   0.208406E-04 ,   0.181431E-04 )
    -2     0     3  (  -0.247232E-03 ,   0.251329E-03 )
    -1     0     3  (  -0.418398E-02 ,   0.435208E-02 )
     0     1     3  (  -0.176719E-01 ,   0.217325E-01 )
     1     1     3  (  -0.376323E-01 ,   0.451201E-01 )
     2     1     3  (  -0.259067E-01 ,   0.321561E-01 )
     3     1     3  (  -0.548197E-02 ,   0.732238E-02 )
     4     1     3  (   0.431855E-04 ,   0.376138E-04 )
